X_km,Y_km,Z_km
1.169081317642639577e+07,1.404455150883263648e+08,6.399817864071186632e+07
8.986907309597998857e+06,1.409112399093097448e+08,6.428065579971505702e+07
6.280600343174502254e+06,1.413393297952427268e+08,6.454596473830288649e+07
3.572626893693476915e+06,1.417299362716277838e+08,6.479415600888082385e+07
8.637118907653838396e+05,1.420832245253979266e+08,6.502528666636024415e+07
-1.845429748182386160e+06,1.423993729589863420e+08,6.523942007233773172e+07
-4.554093419353410602e+06,1.426785727410336137e+08,6.543662569712539017e+07
-7.261585110534787178e+06,1.429210273547986150e+08,6.561697892012779415e+07
-9.967221655921071768e+06,1.431269521452948749e+08,6.578056082904314995e+07
-1.267033096822738647e+07,1.432965738661309183e+08,6.592745801834705472e+07
-1.537025224855560064e+07,1.434301302269864082e+08,6.605776238749754429e+07
-1.806633617452019453e+07,1.435278694426090717e+08,6.617157093927945942e+07
-2.075794506717599928e+07,1.435900497841691077e+08,6.626898557868506014e+07
-2.344445303732554615e+07,1.436169391337596178e+08,6.635011291270672530e+07
-2.612524611181115359e+07,1.436088145427827835e+08,6.641506405139596760e+07
-2.879972234042297304e+07,1.435659617949133217e+08,6.646395441052123904e+07
-3.146729188407462090e+07,1.434886749742806554e+08,6.649690351613542438e+07
-3.412737708491700888e+07,1.433772560394662023e+08,6.651403481134244800e+07
-3.677941251907255501e+07,1.432320144038617611e+08,6.651547546553136408e+07
-3.942284503268560767e+07,1.430532665228911936e+08,6.650135618632471561e+07
-4.205713376198943704e+07,1.428413354885505438e+08,6.647181103446829319e+07
-4.468175013809647411e+07,1.425965506316780448e+08,6.642697724186818302e+07
-4.729617787721949071e+07,1.423192471323233843e+08,6.636699503296269476e+07
-4.989991295702989399e+07,1.420097656385424733e+08,6.629200744959636033e+07
-5.249246357985706627e+07,1.416684518939055502e+08,6.620216017954602838e+07
-5.507335012342544645e+07,1.412956563739666343e+08,6.609760138883020729e+07
-5.764210507981993258e+07,1.408917339319067895e+08,6.597848155791693926e+07
-6.019827298335926235e+07,1.404570434535276890e+08,6.584495332192805409e+07
-6.274141032804641128e+07,1.399919475217383802e+08,6.569717131492261589e+07
-6.527108547525273263e+07,1.394968120906471610e+08,6.553529201832750440e+07
-6.778687855227679014e+07,1.389720061693404317e+08,6.535947361356905103e+07
-7.028838134240590036e+07,1.384179015154003501e+08,6.516987583894561231e+07
-7.277519716708984971e+07,1.378348723381905556e+08,6.496665985076995194e+07
-7.524694076082020998e+07,1.372232950119086206e+08,6.474998808879615366e+07
-7.770323813929137588e+07,1.365835477983875275e+08,6.452002414593760669e+07
-8.014372646139878035e+07,1.359160105796000361e+08,6.427693264226926863e+07
-8.256805388561308384e+07,1.352210645998064876e+08,6.402087910330075026e+07
-8.497587942124804854e+07,1.344990922172623575e+08,6.375202984249516577e+07
-8.736687277512142062e+07,1.337504766653891653e+08,6.347055184800232202e+07
-8.974071419408713281e+07,1.329756018232964575e+08,6.317661267356730998e+07
-9.209709430389770865e+07,1.321748519955251217e+08,6.287038033356666565e+07
-9.443571394483751059e+07,1.313486117008754760e+08,6.255202320212095231e+07
-9.675628400454357266e+07,1.304972654701667726e+08,6.222170991622415185e+07
-9.905852524841606617e+07,1.296211976527686417e+08,6.187960928282729536e+07
-1.013421681479983479e+08,1.287207922317338735e+08,6.152589018980784714e+07
-1.036069527076856494e+08,1.277964326473551095e+08,6.116072152075277269e+07
