X_km,Y_km,Z_km
-1.536093042194389999e+08,1.728644136391241252e+08,8.345981482919648290e+07
-1.551664057665154636e+08,1.718160274785961509e+08,8.302092810648937523e+07
-1.567131772270487845e+08,1.707561500953503251e+08,8.257649193429975212e+07
-1.582495267706287503e+08,1.696848644929687083e+08,8.212654190798328817e+07
-1.597753632913989723e+08,1.686022540744094551e+08,8.167111382560311258e+07
-1.612905964064960182e+08,1.675084026381499469e+08,8.121024368612359464e+07
-1.627951364544750750e+08,1.664033943744258583e+08,8.074396768764832616e+07
-1.642888944937880635e+08,1.652873138615176082e+08,8.027232222568202019e+07
-1.657717823011979163e+08,1.641602460621691048e+08,7.979534389145173132e+07
-1.672437123703285456e+08,1.630222763199996352e+08,7.931306947022871673e+07
-1.687045979100935757e+08,1.618734903560964465e+08,7.882553593973013759e+07
-1.701543528432615101e+08,1.607139742655966282e+08,7.833278046851901710e+07
-1.715928918049776554e+08,1.595438145143980086e+08,7.783484041446223855e+07
-1.730201301413127482e+08,1.583630979359432757e+08,7.733175332322202623e+07
-1.744359839079324603e+08,1.571719117280001938e+08,7.682355692674826086e+07
-1.758403698686698079e+08,1.559703434496126175e+08,7.631028914184591174e+07
-1.772332054942229390e+08,1.547584810180411339e+08,7.579198806873999536e+07
-1.786144089608689249e+08,1.535364127057758272e+08,7.526869198967325687e+07
-1.799838991491917968e+08,1.523042271376218498e+08,7.474043936753655970e+07
-1.813415956428528428e+08,1.510620132878324389e+08,7.420726884452119470e+07
-1.826874187274337709e+08,1.498098604772528112e+08,7.366921924077720940e+07
-1.840212893892495036e+08,1.485478583705641627e+08,7.312632955311597884e+07
-1.853431293142259717e+08,1.472760969735420048e+08,7.257863895371998847e+07
-1.866528608868167400e+08,1.459946666303409934e+08,7.202618678886537254e+07
-1.879504071889180243e+08,1.447036580208443999e+08,7.146901257767322659e+07
-1.892356919988134503e+08,1.434031621580456495e+08,7.090715601087576151e+07
-1.905086397901448011e+08,1.420932703854604363e+08,7.034065694959679246e+07
-1.917691757309010625e+08,1.407740743745774329e+08,6.976955542415027320e+07
-1.930172256823928058e+08,1.394456661223781407e+08,6.919389163286942244e+07
-1.942527161982853711e+08,1.381081379488533139e+08,6.861370594093611836e+07
-1.954755745236069262e+08,1.367615824945985973e+08,6.802903887924566865e+07
-1.966857285937718153e+08,1.354060927184593976e+08,6.743993114329454303e+07
-1.978831070336247087e+08,1.340417618952111751e+08,6.684642359208504856e+07
-1.990676391565016508e+08,1.326686836132872552e+08,6.624855724705243111e+07
