X_km,Y_km,Z_km
2.624809497347011790e+07,1.322870603232654184e+08,5.735756853669359535e+07
2.366146993145687878e+07,1.326815333209496439e+08,5.752846745473625511e+07
2.106754746498945728e+07,1.330342142180006504e+08,5.768124401950215548e+07
1.846717215036413819e+07,1.333450034482858181e+08,5.781585951548314840e+07
1.586118603049644269e+07,1.336138215332076848e+08,5.793228418497899920e+07
1.325042702297165245e+07,1.338406088780375868e+08,5.803049702143027633e+07
1.063572701017805003e+07,1.340253254378790557e+08,5.811048549138369411e+07
8.017909527012509294e+06,1.341679500473290235e+08,5.817224506385156512e+07
5.397787056035703979e+06,1.342684790764212906e+08,5.821577835555224866e+07
2.776158228740992490e+06,1.343269239434621930e+08,5.824109366181831062e+07
1.538057192042028182e+05,1.343433071053108275e+08,5.824820273831811547e+07
-2.468503978295418900e+06,1.343176566546492577e+08,5.823711799207929522e+07
-5.090017814822771586e+06,1.342500004779214263e+08,5.820784964541724324e+07
-7.709990282449410297e+06,1.341403615979713500e+08,5.816040371347127110e+07
-1.032767541515481472e+07,1.339887563039048910e+08,5.809478154536099732e+07
-1.294231875878153741e+07,1.337951958005448878e+08,5.801098118462532014e+07
-1.555315142617555335e+07,1.335596908153432161e+08,5.790900014560075849e+07
-1.815938742314375192e+07,1.332822576181612462e+08,5.778883874487292022e+07
-2.076022410278397799e+07,1.329629237525432110e+08,5.765050310522189736e+07
-2.335484464993679151e+07,1.326017323869905770e+08,5.749400730886697024e+07
-2.594242131275908649e+07,1.321987450571103394e+08,5.731937464344951510e+07
-2.852211851535297558e+07,1.317540431579270661e+08,5.712663818779131770e+07
-3.109309553458962962e+07,1.312677286826950312e+08,5.691584103721410036e+07
-3.365450875698816031e+07,1.307399245646340400e+08,5.668703636669582874e+07
-3.620551361854180694e+07,1.301707748166343272e+08,5.644028741909335554e+07
-3.874526632773666829e+07,1.295604445832741410e+08,5.617566745264960825e+07
-4.127292548448682576e+07,1.289091201673940122e+08,5.589325966504544020e+07
-4.378765370892444253e+07,1.282170090166350454e+08,5.559315709103488922e+07
-4.628861933155036718e+07,1.274843395905094445e+08,5.527546244685758650e+07
-4.877499810397373885e+07,1.267113610401881635e+08,5.494028789194120467e+07
-5.124597485681958497e+07,1.258983427086458057e+08,5.458775470137032121e+07
-5.370074508671998978e+07,1.250455735105354339e+08,5.421799286467554420e+07
-5.613851652827491611e+07,1.241533612207439691e+08,5.383114062319271266e+07
-5.855851077985890210e+07,1.232220316263791919e+08,5.342734393489030749e+07
-6.095996501385852695e+07,1.222519274504271001e+08,5.300675583045545965e+07
-6.334213377215874195e+07,1.212434069353364408e+08,5.256953559687876701e+07
-6.570429081376006454e+07,1.201968419111455232e+08,5.211584768106485158e+07
-6.804573082405973971e+07,1.191126150632710010e+08,5.164586016801009327e+07
-7.036577044440332055e+07,1.179911161225651801e+08,5.115974273615006357e+07
-7.266374771012645960e+07,1.168327370387584865e+08,5.065766420303942263e+07
-7.493901898194006085e+07,1.156378668689305484e+08,5.013979011062108725e+07
-7.719095310404786468e+07,1.144068877594569772e+08,4.960628107046088576e+07
-7.941892365940828621e+07,1.131401735049056411e+08,4.905729256105261296e+07
-8.162230119674016535e+07,1.118380914730798900e+08,4.849297645737770945e+07
-8.380044751209990680e+07,1.105010074745005220e+08,4.791348395181941241e+07
-8.595271328888757527e+07,1.091292921036868542e+08,4.731896903582650423e+07
-8.807843908814048767e+07,1.077233267725134343e+08,4.670959162161366642e+07
-9.017695859469990432e+07,1.062835081699363142e+08,4.608551970107843727e+07
-9.224760267645546794e+07,1.048102507852042317e+08,4.544693042844568193e+07
-9.428970316655184329e+07,1.033039878595335931e+08,4.479401038550829887e+07
-9.630259589902484417e+07,1.017651713966978490e+08,4.412695540360034257e+07
-9.828562299756716192e+07,1.001942717581814229e+08,4.344597023118694872e+07
-1.002381346042759269e+08,9.859177715624973178e+07,4.275126819685427845e+07
-1.021594902559775859e+08,9.695819320777375996e+07,4.204307092403677851e+07
-1.040490601103128791e+08,9.529404261999885738e+07,4.132160811042159051e+07
-1.059062262137902975e+08,9.359986498677046597e+07,4.058711735357884318e+07
-1.077303839429904521e+08,9.187621658134983480e+07,3.983984396996084601e+07
-1.095209436366830319e+08,9.012366999745336175e+07,3.908004073614556342e+07
-1.112773323409145474e+08,8.834281353421193361e+07,3.830796749442716688e+07
-1.129989955675247312e+08,8.653425028941537440e+07,3.752389059611879289e+07
-1.146853989950654656e+08,8.469859695308566093e+07,3.672808217928353697e+07
-1.163360300551495999e+08,8.283648227787493169e+07,3.592081928381624073e+07
-1.179503993257460445e+08,8.094854519492146373e+07,3.510238280629523098e+07
-1.195280416350783408e+08,7.903543256378416717e+07,3.427305629517090321e+07
-1.210685167821378559e+08,7.709779655223274231e+07,3.343312457636797056e+07
-1.225714097412893027e+08,7.513629160519446433e+07,3.258287218440667912e+07
-1.240363300686649531e+08,7.315157095505231619e+07,3.172258159642245993e+07
-1.254629100308313221e+08,7.114428279123121500e+07,3.085253137937939167e+07
-1.268508009620292783e+08,6.911506659330944717e+07,2.997299455902335793e+07
-1.281996677481460124e+08,6.706455055057441443e+07,2.908423769351162389e+07
-1.295091820910922587e+08,6.499335109453910589e+07,2.818652112493386492e+07
-1.307790159446507692e+08,6.290207512447086722e+07,2.728010060450286418e+07
-1.320088367397217453e+08,6.079132463304087520e+07,2.636523003404365852e+07
-1.331983055084277093e+08,5.866170259177251160e+07,2.544216467068422213e+07
-1.343470780143341124e+08,5.651381860732151568e+07,2.451116402283098176e+07
-1.354548080467997193e+08,5.434829316767439991e+07,2.357249387540448457e+07
-1.365211516057554483e+08,5.216576001362845302e+07,2.262642727594759315e+07
-1.375457708765215278e+08,4.996686686000750214e+07,2.167324466566880047e+07
-1.385283374044079781e+08,4.775227504704914987e+07,2.071323350202638656e+07
-1.394685343682424426e+08,4.552265870357772708e+07,1.974668769175892323e+07
-1.403660581273344457e+08,4.327870382633949071e+07,1.877390703586493805e+07
-1.412206193007288873e+08,4.102110749734380841e+07,1.779519677816433087e+07
-1.420319436404502690e+08,3.875057733113769442e+07,1.681086728023749590e+07
-1.427997729425555766e+08,3.646783113860134035e+07,1.582123379992794804e+07
-1.435238661894630194e+08,3.417359669245269895e+07,1.482661630869944207e+07
-1.442040010160336494e+08,3.186861140634918213e+07,1.382733925003807247e+07
-1.448399754649346173e+08,2.955362172488505393e+07,1.282373113316273689e+07
-1.454316098900058568e+08,2.722938206305416301e+07,1.181612387906692736e+07
-1.459787488021015823e+08,2.489665319901666790e+07,1.080485187809776142e+07
-1.464812624208290875e+08,2.255620009451207519e+07,9.790250766398185864e+06
-1.469390476906977296e+08,2.020878919627548382e+07,8.772655974400917068e+06
-1.473520285540950000e+08,1.785518535804804042e+07,7.752401137599946931e+06
-1.477201553511923850e+08,1.549614858702385239e+07,6.729816478339293040e+06
-1.480434033027683198e+08,1.313243083049388789e+07,5.705227264187151566e+06
-1.483217700710972846e+08,1.076477299547384493e+07,4.678952440021516755e+06
-1.485552723824651241e+08,8.393902406335992739e+06,3.651303547213421203e+06
-1.487439417179248035e+08,6.020531000902323984e+06,2.622584093967362773e+06
-1.488878192490054965e+08,3.645354691472770181e+06,1.593089588558714604e+06
-1.489869505255442560e+08,1.269054322542961221e+06,5.631084193466081051e+05
-1.490413807590037882e+08,-1.107701587314196862e+06,-4.670763859913664637e+05
-1.490511516438289285e+08,-3.484252599253869150e+06,-1.497184732927531470e+06
-1.490163003733766675e+08,-5.859941365973743610e+06,-2.526936799001046456e+06
-1.489368609171710014e+08,-8.234108899508067407e+06,-3.556050654816359282e+06
-1.488128670084827542e+08,-1.060609095007378794e+07,-4.584240571540580131e+06
-1.486443559343593419e+08,-1.297521591490747221e+07,-5.611216174342870712e+06
-1.484313722433422208e+08,-1.534080420115882717e+07,-6.636682347000145353e+06
-1.481739707927006483e+08,-1.770216863211689889e+07,-7.660339636731187813e+06
-1.478722189395227730e+08,-2.005861539183894172e+07,-8.681884882367637008e+06
-1.475261979692728221e+08,-2.240944509070165828e+07,-9.701011854173149914e+06
-1.471360039993764162e+08,-2.475395368948098645e+07,-1.071741178595519438e+07
-1.467017486328670382e+08,-2.709143316432137787e+07,-1.173077375821812265e+07
-1.462235596241998971e+08,-2.942117191020007059e+07,-1.274078494787733257e+07
-1.457015817806330025e+08,-3.174245497897808999e+07,-1.374713080642651208e+07
-1.451359782513225675e+08,-3.405456433775367588e+07,-1.474949527097991854e+07
-1.445269322406416535e+08,-3.635677940149199218e+07,-1.574756114354719222e+07
-1.438746490248841047e+08,-3.864837811706390232e+07,-1.674101077741749957e+07
-1.431793579779910445e+08,-4.092863882670942694e+07,-1.772952717068293691e+07
-1.424413141708702147e+08,-4.319684300272201002e+07,-1.871279548277533054e+07
-1.416607990627632439e+08,-4.545227873559072614e+07,-1.969050487599170581e+07
-1.408381198999272585e+08,-4.769424463089172542e+07,-2.066235047507702187e+07
-1.399736076699048281e+08,-4.992205361312076449e+07,-2.162803517684176564e+07
-1.390676137514630258e+08,-5.213503611674767733e+07,-2.258727105507622659e+07
-1.381205056357893944e+08,-5.433254227102898806e+07,-2.353978018619412929e+07
-1.371326621945281923e+08,-5.651394288214440644e+07,-2.448529482656204328e+07
-1.361044689425275624e+08,-5.867862918780431151e+07,-2.542355695742172748e+07
-1.350363136694577038e+08,-6.082601145366939902e+07,-2.635431725783576444e+07
-1.339285827730588466e+08,-6.295551652718834579e+07,-2.727733358896901831e+07
-1.327816586243922561e+08,-6.506658453125845641e+07,-2.819236910769940540e+07
-1.315959182635040879e+08,-6.715866500448636711e+07,-2.909919018807465956e+07
-1.303717335883063972e+08,-6.923121293588776886e+07,-2.999756439116698876e+07
-1.291094729552511126e+08,-7.128368521073663235e+07,-3.088725874275308847e+07
-1.278095038393374383e+08,-7.331553791342754662e+07,-3.176803852429064736e+07
-1.264721960182101727e+08,-7.532622472997273505e+07,-3.263966666600389406e+07
