JulianDate	X	Y	Z	VX	VY	VZ
2456014.5	-148453502.009704	-19865349.7788936	-463.135197498836	3.44612964538984	-29.6542102843618	0.00173489556443585
2456015.5	-148133716.135461	-22424323.6649939	-314.047391425818	3.9559824358239	-29.5798063706354	0.00170805948440211
2456016.5	-147769969.560258	-24976484.6968775	-169.398117363453	4.46370652077404	-29.4965271095932	0.00163210775983202
2456017.5	-147362454.343251	-27521071.8997869	-33.4249855913222	4.96911522217316	-29.4045105828942	0.00150739269429856
2456018.5	-146911378.168114	-30057336.9427162	89.7269745003432	5.47203433089249	-29.3039119999954	0.00133579263824402
2456019.5	-146416963.002583	-32584545.7601444	196.164037602022	5.97230888645364	-29.1949067067582	0.00112138074175583
2456020.5	-145879442.991809	-35101980.3216504	282.471074050292	6.4698141046997	-29.0776900978877	0.000871322742293401
2456021.5	-145299061.262239	-37608940.1406438	346.019130479544	6.9644692770311	-28.9524710683788	0.000596783389319455
2456022.5	-144676065.525533	-40104742.8191155	385.336630431935	7.45625072208773	-28.8194558513718	0.000313401448121198
2456023.5	-144010702.847051	-42588722.7476012	400.481657458469	7.94519682556177	-28.6788218026388	4.07400349065057e-05
2456024.5	-143303214.606604	-45060227.271435	393.304844208062	8.43139745478836	-28.5306864255153	-0.000199733328694052
2456025.5	-142553833.190219	-47518610.3743625	367.477105304599	8.91496467840127	-28.3750831286091	-0.000387970948185767
2456026.5	-141762781.818713	-49963225.0255442	328.207528684288	9.39599141592706	-28.2119562254633	-0.000508966699017677
2456027.5	-140930277.943813	-52393416.1402598	281.686997983605	9.874512992813	-28.0411799011879	-0.000555260752394204
2456028.5	-140056539.297424	-54808515.9821351	234.400197144598	10.3504859311973	-27.8625936247715	-0.000527413578151226
2456029.5	-139141790.819237	-57207842.8098351	192.482582814992	10.8237885862072	-27.6760393329649	-0.000432602434425888
2456030.5	-138186270.777105	-59590702.3518654	161.247038822621	11.2942375886659	-27.4813883299084	-0.000282280646555222
2456031.5	-137190235.157248	-61956390.9908642	144.916103247553	11.7616097799872	-27.2785539937137	-8.9897065969069e-05
2456032.5	-136153960.227318	-64304199.5213607	146.526569027454	12.225661620233	-27.0674931560575	0.000130764214201662
2456033.5	-135077743.668406	-66633416.72747	167.946342479438	12.686142705073	-26.8482014249052	0.000366537158342339
2456034.5	-133961904.794204	-68943332.4601961	209.949103381485	13.1428036027022	-26.620706855439	0.000605297991317144
2456035.5	-132806784.276105	-71233240.191703	272.311385121197	13.5953997916814	-26.3850644213153	0.000836097006740033
2456036.5	-131612743.626554	-73502439.1588354	353.915371645242	14.0436936007287	-26.141352060051	0.00104918326918835
2456037.5	-130380164.549722	-75750236.2270079	452.853224087506	14.4874555091522	-25.8896680692961	0.00123602607195572
2456038.5	-129109448.180813	-77975947.5657723	566.534509792924	14.9264654834892	-25.6301292418042	0.00138936611609886
2456039.5	-127801014.202841	-80178900.1734213	691.798975534737	15.3605144597091	-25.362869156313	0.00150328355875651
2456040.5	-126455299.836698	-82358433.2480186	825.034816604108	15.7894057408038	-25.0880363073269	0.00157325186114221
2456041.5	-125072758.725651	-84513899.389614	962.300017919391	16.212955997118	-24.8057920988784	0.00159615240933597
2456042.5	-123653859.757556	-86644665.6335874	1099.44307599217	16.6309957008244	-24.5163090090222	0.00157024756441615
2456043.5	-122199085.870786	-88750114.348322	1232.22045721859	17.0433691172807	-24.2197693569245	0.00149513889080666
2456044.5	-120708932.864601	-90829644.0660058	1356.41161844134	17.4499343149762	-23.9163650306012	0.00137176285038087
2456045.5	-119183908.181369	-92882670.3358677	1467.93765927106	17.8505639535392	-23.6062982595482	0.00120249069412104
2456046.5	-117624529.55345	-94908626.6776459	1562.9954720661	18.2451477918715	-23.2897830490168	0.000991396587973981
2456047.5	-116031323.325438	-96906965.6525837	1638.2237873897	18.6335978259184	-22.9670462248845	0.000744729460055993
2456048.5	-114404822.199106	-98877159.942923	1690.91792901605	19.0158565223899	-22.6383261952949	0.000471554221373793
2456049.5	-112745562.152121	-100818703.130641	1719.30201207846	19.3919074449795	-22.3038667318157	0.00018439875413101
2456050.5	-111054078.428301	-102731109.619568	1722.84545339644	19.7617854157576	-21.96390295792	-0.000100441924663741
2456051.5	-109330900.863369	-104613912.958924	1702.57275803387	20.125580586785	-21.6186384656793	-0.000363457483484986
2456052.5	-107576549.383535	-106466661.908785	1661.27071560919	20.483429210047	-21.2682170222417	-0.000583799738201662
2456053.5	-105791531.063946	-108288914.156311	1603.47317812592	20.8354865409823	-20.9126985595123	-0.000742491317803129
2456054.5	-103976340.201109	-110080228.614431	1535.13774572313	21.1818857205393	-20.5520524105639	-0.000826139265686088
2456055.5	-102131462.068753	-111840158.203533	1463.03211668134	21.5226965393405	-20.1861756290027	-0.000829683601494047
2456056.5	-100257379.617465	-113568245.174073	1393.97208981216	21.8579009526989	-19.8149315349688	-0.000756955530810011
2456057.5	-98354581.2137902	-115264020.084973	1334.11420096457	22.1873937670228	-19.4381927842876	-0.000618949377536815
2456058.5	-96423567.3693353	-116927004.102296	1288.46182116866	22.5110035815332	-19.0558731119321	-0.000430835617832415
