model,mAP50,mAP50_95,mAP75
YOLOv8,0.7000988776812365,0.3664103709942984,0.3737136218352226
Faster R-CNN,0.6914845108985901,0.35415172576904297,0.31445738673210144
RetinaNet,0.001523229293525219,0.0005331302527338266,0.0
