JulianDate	X	Y	Z	VX	VY	VZ
2455318.5	-113763365.261489	-99264359.0468479	4554.19129887968	19.1818288660768	-22.4813916807557	-0.0004626917028272
2455319.5	-112089779.018879	-101192379.092737	4511.08880876005	19.557712164338	-22.1476580124286	-0.000526117153775374
2455320.5	-110383947.011046	-103091293.802694	4464.79572951794	19.9282335457593	-21.807656088319	-0.000536911095710302
2455321.5	-108646339.145367	-104960561.677705	4419.74336779863	20.2932379883092	-21.4613913831259	-0.000497989840385848
2455322.5	-106877438.990798	-106799642.575779	4380.06043551862	20.652565152831	-21.108889045308	-0.000413348774902289
2455323.5	-105077744.064525	-108607999.200864	4349.49925392121	21.0060527664732	-20.7501890004703	-0.000287665276140992
2455324.5	-103247765.974497	-110385098.187139	4331.38306154311	21.353536716306	-20.3853417190669	-0.000126200263266263
2455325.5	-101388030.662128	-112130410.889627	4328.55091851205	21.6948488112176	-20.0144058022915	6.50595530755638e-05
2455326.5	-99499078.8997616	-113843414.072342	4343.28276102245	22.0298133179028	-19.6374481190188	0.00027909954548555
2455327.5	-97581467.0955351	-115523590.734279	4377.19504960626	22.3582435382334	-19.2545468976534	0.000507517950405934
2455328.5	-95635768.3392939	-117170431.331502	4431.10754715651	22.6799399184773	-18.8657977517475	0.000740241390067453
2455329.5	-93662573.4868016	-118783435.624212	4504.89441137761	22.9946913228678	-18.4713219294802	0.000965474018784995
2455330.5	-91662491.9447508	-120362115.276397	4597.34678437561	23.302280865521	-18.0712751223015	0.00117003787794534
2455331.5	-89636151.7327956	-121905997.15001	4706.08552116156	23.6024967762527	-17.6658542481852	0.00134019981835465
2455332.5	-87584198.4231339	-123414626.99258	4827.56556272507	23.8951471764382	-17.2552993278573	0.00146294507993527
2455333.5	-85507292.7322429	-124887572.996396	4957.20262491703	24.1800759126248	-16.8398884393479	0.00152748691235694
2455334.5	-83406106.8340645	-126324428.613044	5089.62876191735	24.457175695482	-16.4199257175591	0.0015266810638499
2455335.5	-81281319.7729039	-127724814.102696	5219.05405700207	24.7263954106594	-15.9957245784709	0.00145802279940899
2455336.5	-79133612.5494173	-129088376.549976	5339.6891906485	24.9877403522543	-15.5675895901405	0.00132404470153524
2455337.5	-76963663.4695759	-130414788.371561	5446.17605084181	25.241266162515	-15.1358001132168	0.0011321191232847
2455338.5	-74772144.2227376	-131703744.556534	5533.9799497053	25.4870683486102	-14.7005974992262	0.000893792798847493
2455339.5	-72559716.9906307	-132954958.975352	5599.70950981975	25.7252691445504	-14.2621763456874	0.000623799034077166
2455340.5	-70327032.7641373	-134168160.108476	5641.34099543095	25.9560028259592	-13.8206798140888	0.000338845511739017
2455341.5	-68074730.9689769	-135343086.553359	5658.33047164977	26.1794002306707	-13.3761992582143	5.62404763941871e-05
2455342.5	-65803440.425775	-136479482.705165	5651.60325875878	26.3955735960285	-12.9287787052337	-0.000207553434500518
2455343.5	-63513781.5418345	-137577095.044352	5623.420915775	26.6046035752059	-12.4784243771419	-0.00043827436691668
2455344.5	-61206369.4495962	-138635669.435218	5577.14290700853	26.8065306595199	-12.0251182898369	-0.000624906754177701
2455345.5	-58881817.6338021	-139654949.695702	5516.91847367585	27.0013525996834	-11.5688336035977	-0.000760227837965921
2455346.5	-56540741.5137948	-140634677.46051	5447.35580087453	27.1890278827619	-11.1095487122418	-0.000840789141038023
2455347.5	-54183761.5170014	-141574593.111657	5373.21438546479	27.3694836542554	-10.6472575381476	-0.000866425127707959
