aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.5,28.03,1.77,5594.85,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.51,28.03,1.82,5582.55,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.52,28.04,1.83,5565.16,2.6,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.52,28.04,1.91,5507.75,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.53,28.03,1.91,5451.92,2.6,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.54,28.02,1.87,5470.98,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.55,28.01,1.89,5441.68,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.56,28,1.92,5489.55,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.56,28,1.87,5533.37,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.57,27.99,1.88,5506.37,2.4,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.58,27.99,1.85,5555.96,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.59,27.99,1.87,5556.72,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.61,27.99,1.94,5508.37,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.62,27.99,1.92,5561.66,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.63,27.99,1.99,5570.65,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.64,27.99,2.04,5569.36,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.65,27.99,2.06,5533.84,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.67,27.99,2.1,5592.22,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.68,28,2.09,5579.79,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.7,27.99,2.11,5535.5,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.71,27.98,2.11,5517.26,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.72,27.97,2.15,5510.8,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.74,27.97,2.14,5523.5,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.75,27.96,2.2,5549.96,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.77,27.95,2.26,5495.77,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.79,27.94,2.25,5460.99,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.81,27.92,2.33,5435.45,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.83,27.9,2.37,5447.88,2.4,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.85,27.88,2.43,5394.62,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.87,27.86,2.42,5397.96,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.89,27.84,2.47,5413.73,2.4,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.91,27.82,2.43,5449.69,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.93,27.8,2.39,5393.78,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.95,27.78,2.41,5362.28,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.98,27.75,2.43,5321.43,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1,27.73,2.37,5355.53,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.02,27.7,2.33,5334.84,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.05,27.68,2.29,5332.2,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.07,27.65,2.32,5292.88,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.09,27.62,2.31,5243.13,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.12,27.58,2.32,5207.13,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.14,27.54,2.34,5169.79,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.17,27.51,2.36,5217.97,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.2,27.47,2.35,5242.45,2.4,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.22,27.44,2.39,5235.49,2.4,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.25,27.41,2.37,5289.49,2.4,0.5,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.28,27.38,2.33,5288.91,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.31,27.35,2.32,5335.51,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,1.34,27.33,2.27,5377.25,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,
