dep_julian,arr_julian,dep_iso,arr_iso,tof_days,dv_total_kms,dv_dep_kms,dv_arr_kms
2465424.5,2465813.110169492,2038-01-01 00:00:00.000,2039-01-24 14:38:38.644,388.6101694915254,19.73645685066298,11.400291469441624,8.336165381221354
2465424.5,2465868.4830508474,2038-01-01 00:00:00.000,2039-03-20 23:35:35.593,443.98305084745766,17.897283579255788,9.280762254054196,8.616521325201592
2465424.5,2465886.940677966,2038-01-01 00:00:00.000,2039-04-08 10:34:34.576,462.4406779661017,16.495760479113713,7.9677293589374205,8.52803112017629
2465424.5,2465905.398305085,2038-01-01 00:00:00.000,2039-04-26 21:33:33.559,480.8983050847458,15.599118560518168,6.954376888046535,8.644741672471632
2465424.5,2465923.855932204,2038-01-01 00:00:00.000,2039-05-15 08:32:32.542,499.3559322033899,14.903799047810674,6.054406082099815,8.849392965710859
2465424.5,2465942.313559322,2038-01-01 00:00:00.000,2039-06-02 19:31:31.525,517.8135593220339,14.42969754804147,5.2959625230194485,9.133735025022022
2465424.5,2465960.7711864407,2038-01-01 00:00:00.000,2039-06-21 06:30:30.508,536.271186440678,14.312464963266862,4.802026857195711,9.51043810607115
2465424.5,2465979.2288135597,2038-01-01 00:00:00.000,2039-07-09 17:29:29.492,554.7288135593221,14.778054258890135,4.77493236673135,10.003121892158788
2465424.5,2465997.686440678,2038-01-01 00:00:00.000,2039-07-28 04:28:28.475,573.1864406779662,16.0466759423482,5.399953378131338,10.646722564216864
2465424.5,2466016.1440677964,2038-01-01 00:00:00.000,2039-08-15 15:27:27.458,591.6440677966102,18.223288560186184,6.731805988171683,11.491482572014505
2465425.5,2465814.110169492,2038-01-02 00:00:00.000,2039-01-25 14:38:38.644,388.6101694915254,19.87192950167105,11.474408526755854,8.397520974915198
2465425.5,2465869.4830508474,2038-01-02 00:00:00.000,2039-03-21 23:35:35.593,443.98305084745766,18.078222197830428,9.378630431838411,8.699591765992013
2465425.5,2465887.940677966,2038-01-02 00:00:00.000,2039-04-09 10:34:34.576,462.4406779661017,16.611251840902284,8.024624703396812,8.586627137505474
2465425.5,2465906.398305085,2038-01-02 00:00:00.000,2039-04-27 21:33:33.559,480.8983050847458,15.692590238435452,6.997314314758613,8.695275923676839
2465425.5,2465924.855932204,2038-01-02 00:00:00.000,2039-05-16 08:32:32.542,499.3559322033899,14.980934740589198,6.087112611174035,8.893822129415163
2465425.5,2465943.313559322,2038-01-02 00:00:00.000,2039-06-03 19:31:31.525,517.8135593220339,14.490381668290691,5.318349260713296,9.172032407577396
2465425.5,2465961.7711864407,2038-01-02 00:00:00.000,2039-06-22 06:30:30.508,536.271186440678,14.35399046268498,4.812129257062395,9.541861205622585
2465425.5,2465980.2288135597,2038-01-02 00:00:00.000,2039-07-10 17:29:29.492,554.7288135593221,14.796415290094474,4.770093848634453,10.026321441460022
2465425.5,2465998.686440678,2038-01-02 00:00:00.000,2039-07-29 04:28:28.475,573.1864406779662,16.03841601499317,5.3788618303463975,10.659554184646774
2465425.5,2466017.1440677964,2038-01-02 00:00:00.000,2039-08-16 15:27:27.458,591.6440677966102,18.184193510865725,6.693595370255993,11.49059814060973
2465426.5,2465870.4830508474,2038-01-03 00:00:00.000,2039-03-22 23:35:35.593,443.98305084745766,18.265542952637524,9.48040245845345,8.785140494184075
2465426.5,2465888.940677966,2038-01-03 00:00:00.000,2039-04-10 10:34:34.576,462.4406779661017,16.72799008840632,8.082375804206835,8.645614284199484
2465426.5,2465907.398305085,2038-01-03 00:00:00.000,2039-04-28 21:33:33.559,480.8983050847458,15.7868391963694,7.040886563164785,8.745952633204615
2465426.5,2465925.855932204,2038-01-03 00:00:00.000,2039-05-17 08:32:32.542,499.3559322033899,15.058809907605688,6.120504381704803,8.938305525900885
2465426.5,2465944.313559322,2038-01-03 00:00:00.000,2039-06-04 19:31:31.525,517.8135593220339,14.551857519850202,5.341528539654294,9.210328980195907
2465426.5,2465962.7711864407,2038-01-03 00:00:00.000,2039-06-23 06:30:30.508,536.271186440678,14.396352399787505,4.823108188628646,9.573244211158858
2465426.5,2465981.2288135597,2038-01-03 00:00:00.000,2039-07-11 17:29:29.492,554.7288135593221,14.815542099894234,4.766082279984119,10.049459819910115
2465426.5,2465999.686440678,2038-01-03 00:00:00.000,2039-07-30 04:28:28.475,573.1864406779662,16.030719087192065,5.3583848100199365,10.672334277172128
2465426.5,2466018.1440677964,2038-01-03 00:00:00.000,2039-08-17 15:27:27.458,591.6440677966102,18.14551185353808,6.655783564779848,11.48972828875823
2465427.5,2465871.4830508474,2038-01-04 00:00:00.000,2039-03-23 23:35:35.593,443.98305084745766,18.45979595010161,9.586376331651032,8.873419618450585
2465427.5,2465889.940677966,2038-01-04 00:00:00.000,2039-04-11 10:34:34.576,462.4406779661017,16.845930276064813,8.14092957628584,8.70500069977897
2465427.5,2465908.398305085,2038-01-04 00:00:00.000,2039-04-29 21:33:33.559,480.8983050847458,15.881807852275614,7.085039370569875,8.796768481705739
2465427.5,2465926.855932204,2038-01-04 00:00:00.000,2039-05-18 08:32:32.542,499.3559322033899,15.137388700132428,6.154549554807442,8.982839145324986
2465427.5,2465945.313559322,2038-01-04 00:00:00.000,2039-06-05 19:31:31.525,517.8135593220339,14.61412496736438,5.365503625425376,9.248621341939003
2465427.5,2465963.7711864407,2038-01-04 00:00:00.000,2039-06-24 06:30:30.508,536.271186440678,14.4396013597675,4.835016694674145,9.604584665093356
2465427.5,2465982.2288135597,2038-01-04 00:00:00.000,2039-07-12 17:29:29.492,554.7288135593221,14.835543247967,4.763007536637575,10.072535711329424
2465427.5,2466000.686440678,2038-01-04 00:00:00.000,2039-07-31 04:28:28.475,573.1864406779662,16.023734820182487,5.338672117739657,10.68506270244283
2465427.5,2466019.1440677964,2038-01-04 00:00:00.000,2039-08-18 15:27:27.458,591.6440677966102,18.10740707086369,6.618533441342817,11.488873629520876
2465428.5,2465872.4830508474,2038-01-05 00:00:00.000,2039-03-24 23:35:35.593,443.98305084745766,18.66159569604764,9.6968786902665,8.964717005781143
2465428.5,2465890.940677966,2038-01-05 00:00:00.000,2039-04-12 10:34:34.576,462.4406779661017,16.964998359795867,8.200204038654608,8.76479432114126
2465428.5,2465909.398305085,2038-01-05 00:00:00.000,2039-04-30 21:33:33.559,480.8983050847458,15.977402626630678,7.129683572346937,8.847719054283742
2465428.5,2465927.855932204,2038-01-05 00:00:00.000,2039-05-19 08:32:32.542,499.3559322033899,15.21659410767846,6.1891762890623365,9.027417818616124
